email,exp,compliance_all,compliance_per_day,n_image,n_links,afp_fact_check,snopes,verify_this,politi_fact,lead_stories_com,ap_fact_check,factcheckdotorg,correct_fct_submissions,compliers
0e217f4784a1d7c62fb1898e5b75bf97,control,23,22,23,0,0,0,0,0,0,0,0,0,0
e592b6ad58f937782723f52b29cca338,control,16,16,16,0,0,0,0,0,0,0,0,0,0
ab9640829b744a11a1d075196f8db2a8,treatment,16,14,16,0,1,5,4,2,2,0,0,2,0
09c74663c37ef5575ddb71b9818e5679,control,24,22,0,22,0,0,0,0,0,0,0,0,0
d513764a0cece739ec94612c626b00c8,treatment,17,13,15,2,1,6,4,3,0,0,1,0,0
3ac2cf087b8cf35000d64f13a949485b,control,46,23,40,6,0,0,0,0,0,0,0,0,0
99585beec068ee5bd76909f42230a66a,control,15,15,14,1,0,0,0,0,0,0,0,0,0
07fb87f67dd61cd55733e50fbcc6ae25,control,4,4,3,1,0,0,0,0,0,0,0,0,0
ef07563dcbf5edd0cc713fab1b984388,treatment,23,19,0,23,0,0,0,0,0,0,0,0,0
3bb02394ee0ec7732bd9648ddc14d859,control,23,22,0,23,0,0,0,0,0,0,0,0,0
7256d02710c8a8e59efc2a07ed46d99b,control,2,2,0,2,0,0,0,0,0,0,0,0,0
7864bdf16f931abb5bb2a6960aa51502,treatment,22,17,0,22,0,0,0,0,0,0,0,0,0
9fea5dddf8b09cda07811507218698c0,treatment,13,13,0,13,0,0,0,0,0,0,0,0,0
f6bb9a52fadb0a8b694859742e70f473,control,16,16,16,0,0,0,0,0,0,0,0,0,0
d0202ca9e97f1997a3e76af3bcf22eaf,treatment,20,12,0,20,0,0,0,0,0,0,0,0,0
20c2909830103c2e39f99edc00261125,treatment,50,22,48,2,0,14,32,2,0,0,0,0,0
43e82ce8b185bc61ca7742319e8c0b38,control,15,10,0,15,0,0,0,0,0,0,0,0,0
6a9462845151b796840880c287a1345a,treatment,1,1,0,1,0,0,0,0,0,0,0,0,0
90fc3b6b23a7b9205bcff4a60ecebc00,treatment,15,13,15,0,0,11,2,2,0,0,0,0,0
81dbd69774fec748a621cb2b1ca4148f,control,23,21,23,0,0,0,0,0,0,0,0,0,0
27150f249ff96d86a2b7b14827cf334d,control,21,20,0,21,0,0,0,0,0,0,0,0,0
b77132acfdd54735f6d8b8dd78d84938,treatment,1,1,0,1,0,0,0,0,0,0,0,0,0
84c10cfbc4aba15d033edf6fee98e4a6,treatment,20,13,7,13,0,0,0,0,0,0,0,0,0
8a73e6719eae1aabc61a94ea0f47502e,treatment,22,22,22,0,1,12,5,2,1,0,1,1,0
514d0b7090c8106c6227cf7f49b197bc,control,17,17,0,17,0,0,0,0,0,0,0,0,0
d1b98197cf83c6c07d1931835e7e1257,control,22,20,22,0,0,0,0,0,0,0,0,0,0
5497d7601b77183516ff16da3084f07a,treatment,18,16,18,0,0,18,0,0,0,0,0,0,0
8d8f5ce4d0be804bc33909697e1b8f04,control,23,23,0,23,0,0,0,0,0,0,0,0,0
4afab8670ecadc327c5ff8324a4120ea,treatment,48,20,30,18,2,18,4,0,4,0,0,4,0
63ab78cc9097703500e64697b90ee823,treatment,19,19,19,0,0,7,10,1,1,0,0,1,0
0115f05381af88f0e431901aeeaf0799,control,7,6,0,7,0,0,0,0,0,0,0,0,0
0d58bbcc32344126bd351047b5f7ea9b,control,23,20,0,23,0,0,0,0,0,0,0,0,0
1040ebc07347a23fe7f3f7ebbb98eae8,treatment,22,20,0,22,0,0,0,0,0,0,0,0,0
b359a33b5627d457fe3f89e7b137a561,treatment,17,16,16,1,2,7,5,1,1,0,0,1,0
737651e10762db7b4dceb9954e8afbe5,treatment,44,21,44,0,0,0,0,0,0,0,0,0,0
dca5b3a5849a7ed05cf96d1939e7a3d2,control,31,28,0,31,0,0,0,0,0,0,0,0,0
8f6c65f6ad3684516378f29d5e9b047b,control,24,22,15,9,0,0,0,0,0,0,0,0,0
55611e71b358a30158c61810ad802435,NA,132,2,66,66,0,0,0,0,0,0,0,0,0
f8f0c8d7e279159e86b01e37223a4088,control,23,23,23,0,0,0,0,0,0,0,0,0,0
2e57bd3b6b05c4e9a44779525d0d80f9,control,19,18,0,19,0,0,0,0,0,0,0,0,0
e1e8bc4dc48b997197c595f439c74ef0,control,2,2,1,1,0,0,0,0,0,0,0,0,0
114837c50a088c229eff5df9f19021cb,control,20,15,19,1,0,0,0,0,0,0,0,0,0
a07b254516cd4d248efb8b99d30e2ba4,control,20,20,0,20,0,0,0,0,0,0,0,0,0
3424825b969e98c52b0c054479f759fd,treatment,27,27,27,0,0,13,6,2,0,2,0,2,0
c3c0b29de0e36f56d10dc2c7ac2f460d,control,25,20,0,25,0,0,0,0,0,0,0,0,0
504ecd7869b9d4a284c8eea94894a0d7,treatment,23,21,0,23,0,0,0,0,0,0,0,0,0
a0081d147c8e455a35fdf1eec9625617,control,23,22,23,0,3,0,18,0,0,0,0,0,0
3db7f86b5988d1a6af224a14249052d2,treatment,20,20,20,0,0,13,3,1,2,0,1,2,0
66311c87556f8380c024602cd70c8961,control,27,24,27,0,0,0,0,0,0,0,0,0,0
92c737300eaeb93b4841768841c17546,treatment,28,24,0,26,0,0,0,0,0,0,0,0,0
da12e486f9215780a5896142315802dd,treatment,22,19,22,0,0,12,9,0,1,0,0,1,0
56a787928c8d021eb10e07fb37bade09,control,19,19,0,19,0,0,0,0,0,0,0,0,0
c96d5c0016f0fb82420af57789446f58,treatment,23,22,23,0,0,9,12,0,2,0,0,2,0
e2b60c9b2d40060cd26530610b0c52a6,treatment,22,19,21,1,0,0,0,0,0,0,0,0,0
350d8627dca87dbbe11c84ee101ecc27,treatment,19,18,0,19,0,0,0,0,0,0,0,0,0
b7dee4f000455932bdfd6b29abf0bb4b,treatment,21,20,21,0,1,6,9,1,2,1,0,3,0
004aeb4707fdea7c6bb74a64e664a8eb,treatment,9,9,9,0,1,5,3,0,0,0,0,0,0
0ac913cbabd575f902d2bbe585d372a8,treatment,21,18,10,11,0,0,10,0,0,0,0,0,0
f455a7631344825d663282c78c2ace8f,treatment,15,14,0,15,0,0,0,0,0,0,0,0,0
ef44348bb6dad6f29d1edd42b7215b33,control,18,18,0,18,0,0,0,0,0,0,0,0,0
043bb1117f7699a44ea892c5f37e05fc,control,21,17,21,0,0,0,0,0,0,0,0,0,0
0c11e5f21ea274bfebf618db034f06d9,treatment,17,16,0,17,0,0,0,0,0,0,0,0,0
ae5f5801796926bffd43b1bf6f904826,control,19,17,0,19,0,0,0,0,0,0,0,0,0
eea5645277531b46a2d6fe3fbdcf218a,treatment,12,9,0,12,0,0,0,0,0,0,0,0,0
fed82ca0812398674db06a10c696e712,control,46,19,38,8,0,0,0,0,0,0,0,0,0
4a367a9558042e7b7bdfd41b1d4e376d,treatment,26,23,0,26,0,0,0,0,0,0,0,0,0
27d50c305c84ff3dc95a04cc6db5e641,control,23,17,0,23,0,0,0,0,0,0,0,0,0
f7a8234bb05afb03ec5b99e76f71287e,treatment,7,7,0,7,0,0,0,0,0,0,0,0,0
88bc7cbecd88492462cc6847027be912,treatment,10,10,9,1,0,7,1,0,1,0,0,1,0
44cdafcba52678d49a2fd3387a06eeba,treatment,18,17,0,18,0,0,0,0,0,0,0,0,0
e86c99f429ec0f6f161031d89d64f966,treatment,22,21,22,0,2,8,7,4,2,0,0,2,0
db50dad47bd0b775b0b1ad7199f729ed,control,15,14,0,15,0,0,0,0,0,0,0,0,0
4c8f47bede1a141f58dd70f2647fb115,control,21,18,0,21,0,0,0,0,0,0,0,0,0
cc3bb9b2b4cc49e3b11aaf9a21fe10f4,control,14,13,13,1,0,0,0,0,0,0,0,0,0
a6b2c28eed30c288fca8bbf8f994db86,control,5,5,4,1,0,0,0,0,0,0,0,0,0
1e59f41f5e4fd0ce2413511718a5f387,control,20,18,0,20,0,0,0,0,0,0,0,0,0
44302bad7b8134bff091feebf92dc47d,treatment,11,10,0,11,0,0,0,0,0,0,0,0,0
a23c90952049077104d78515c8d500ae,treatment,22,21,22,0,1,9,6,6,0,0,0,0,0
0ae2774ca1b539946f03be9d6745a9a0,control,22,21,22,0,0,0,0,0,0,0,0,0,0
a40eeab4bc457810fd368a5e00b8af67,treatment,25,25,0,25,0,0,0,0,0,0,0,0,0
7b14c9223d20d997519e63b529d278cb,control,16,16,16,0,0,0,0,0,0,0,0,0,0
b7a42bf9a725b73540dee18f5e24e8e3,control,11,11,7,4,0,0,0,0,0,0,0,0,0
512eb14179dec793c6ce8b860b4c8306,control,23,21,8,15,0,0,0,0,0,0,0,0,0
29bfaa16829f1e5b46dc08d7eb976dd0,treatment,22,22,22,0,2,11,6,0,1,0,0,1,0
f630a4981c0afef135dc6296b3c5aa63,control,12,9,0,12,0,0,0,0,0,0,0,0,0
dc57ab97d8b720530680916b1190a9f6,control,24,20,24,0,0,0,0,0,0,0,0,0,0
ffde82da12d99a13d3187aecc3410428,treatment,26,24,26,0,0,12,14,0,0,0,0,0,0
c51136b3e737ba977f8dde744fb9e81b,treatment,44,16,44,0,0,2,38,0,0,0,4,0,0
1a3e34ab2d00e92b0cc6f5624ff0a63e,treatment,25,23,0,25,0,0,0,0,0,0,0,0,0
cafeb2a3a8d50b4106f5c876466cbfc8,control,23,14,23,0,0,0,0,0,0,0,0,0,0
1af9103411ff277321f26f477c092d87,control,23,20,23,0,0,0,0,0,0,0,0,0,0
58d9683897a5262e1defca9b5a9501ae,control,4,4,0,4,0,0,0,0,0,0,0,0,0
81cd5660526bd734cc319ae1f60b5a66,control,23,19,23,0,0,0,0,0,0,0,0,0,0
466bb3d3214d81650ec7b1281d0f454e,treatment,21,19,0,21,0,0,0,0,0,0,0,0,0
8215a8476aa66b11233058c7a0723c46,control,4,3,4,0,0,0,0,0,0,0,0,0,0
b29f34fca4b287e30aaf9a85b094b436,control,3,2,3,0,0,0,0,0,0,0,0,0,0
f86543231556f93abbff0e6e6ad989fd,control,22,17,19,3,0,0,1,0,0,0,0,0,0
c2609b488f810b9f69935631786307c6,treatment,4,4,3,1,0,2,1,0,0,0,0,0,0
4153085d332f842a14daf25297bbfc4f,treatment,4,4,3,1,0,0,2,1,0,0,0,0,0
b07324ce8b4af02e68304115b6cb4e8e,control,11,10,1,10,0,0,0,0,0,0,0,0,0
001e711bb070699b6260384c232068af,control,4,4,1,3,0,0,0,0,0,0,0,0,0
a0324046862cbe5b998c38a1ce57f4d2,treatment,21,18,0,21,0,0,0,0,0,0,0,0,0
f118d25b1740c079057a958f7586ae93,treatment,2,2,0,2,0,0,0,0,0,0,0,0,0
dd0169c65ef0ce426ece760c0f289a78,treatment,12,11,11,1,0,0,10,0,0,0,0,0,0
13a043e41ca1b6594dc341578e53af57,control,12,11,11,1,0,0,0,0,0,0,0,0,0
a68239b992700de5572b9584954d01cf,treatment,19,19,0,19,0,0,0,0,0,0,0,0,0
13df396531a0a19c5fa17ea556b10a84,control,1,1,1,0,0,0,0,0,0,0,0,0,0
653a4fa3936f402b4cd532072a2a7c25,treatment,1,1,1,0,0,0,0,0,0,0,0,0,0
17233b52fb1416b09434999931237cb2,control,0,0,0,0,0,0,0,0,0,0,0,0,0
ec787674c0c3384009e39baed502d4d8,treatment,0,0,0,0,0,0,0,0,0,0,0,0,0
6e38113250e90c5b1e08ab25f30f16a7,treatment,0,0,0,0,0,0,0,0,0,0,0,0,0
